accel:{'x': 0.222, 'y': -0.36, 'z': -0.109}, gyro:{'x': -26.588, 'y': 44.571, 'z': 14.206}, agnet:{'x': -12.699, 'y': -4.76, 'z': -19.127}
accel:{'x': 0.65, 'y': 0.341, 'z': -1.465}, gyro:{'x': -49.614, 'y': -127.457, 'z': -200.836}, agnet:{'x': -20.005, 'y': -3.702, 'z': -24.882}
accel:{'x': 0.538, 'y': -0.182, 'z': -0.634}, gyro:{'x': 107.162, 'y': 241.028, 'z': 249.992}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.55, 'y': -0.364, 'z': -0.522}, gyro:{'x': -2.594, 'y': 4.166, 'z': -8.278}, agnet:{'x': -10.437, 'y': -7.052, 'z': -17.942}
accel:{'x': 0.716, 'y': -0.02, 'z': -0.868}, gyro:{'x': -33.89, 'y': -104.782, 'z': -127.472}, agnet:{'x': -4.523, 'y': -5.289, 'z': -11.172}
accel:{'x': 0.655, 'y': -0.082, 'z': -0.951}, gyro:{'x': 17.227, 'y': 41.084, 'z': 57.762}, agnet:{'x': -12.525, 'y': -5.994, 'z': -18.958}
accel:{'x': 0.538, 'y': -0.191, 'z': -0.765}, gyro:{'x': -11.024, 'y': -85.77, 'z': -96.558}, agnet:{'x': -10.089, 'y': -3.526, 'z': -17.265}
accel:{'x': 0.727, 'y': 0.001, 'z': -0.991}, gyro:{'x': 2.617, 'y': 30.647, 'z': 22.797}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.761, 'y': -0.148, 'z': -0.86}, gyro:{'x': 12.436, 'y': 87.013, 'z': 95.268}, agnet:{'x': -16.004, 'y': -4.231, 'z': -23.02}
accel:{'x': 0.566, 'y': -0.239, 'z': -1.028}, gyro:{'x': -9.056, 'y': -61.79, 'z': -50.987}, agnet:{'x': -7.48, 'y': -6.876, 'z': -14.726}
accel:{'x': 0.618, 'y': -0.118, 'z': -0.993}, gyro:{'x': 10.742, 'y': 19.737, 'z': 15.564}, agnet:{'x': -9.567, 'y': -5.818, 'z': -19.466}
accel:{'x': 0.668, 'y': -0.137, 'z': -0.799}, gyro:{'x': 12.856, 'y': 6.363, 'z': 11.482}, agnet:{'x': -9.219, 'y': -5.465, 'z': -16.419}
accel:{'x': 0.573, 'y': -0.154, 'z': -0.818}, gyro:{'x': -0.443, 'y': -51.353, 'z': -28.061}, agnet:{'x': -10.785, 'y': -4.936, 'z': -18.619}
