  t=45.379412, Gx=-12.923664, Gy=10.450382, Gz=0.572519, Ax=0.462952, Ay=-0.970703, Az=-0.040649
  t=45.567647, Gx=-11.763359, Gy=-5.557252, Gz=0.473282, Ax=0.454712, Ay=-0.963684, Az=-0.051392
  t=45.614706, Gx=7.801527, Gy=-1.427481, Gz=0.549618, Ax=0.446655, Ay=-0.962952, Az=-0.052917
  t=46.179412, Gx=26.175573, Gy=-2.175573, Gz=0.564885, Ax=0.446289, Ay=-0.968628, Az=-0.058411
  t=46.132353, Gx=12.885496, Gy=-0.992366, Gz=0.610687, Ax=0.440002, Ay=-0.966492, Az=-0.048157
  t=45.426471, Gx=19.923664, Gy=2.633588, Gz=0.534351, Ax=0.449036, Ay=-0.967651, Az=-0.051270
  t=45.379412, Gx=13.595420, Gy=-5.969466, Gz=0.648855, Ax=0.448792, Ay=-0.964600, Az=-0.057190
  t=45.332353, Gx=-0.358779, Gy=-1.603053, Gz=0.572519, Ax=0.437988, Ay=-0.964600, Az=-0.050903
  t=46.132353, Gx=3.343511, Gy=-2.473282, Gz=0.671756, Ax=0.437744, Ay=-0.965454, Az=-0.050781
  t=44.861765, Gx=0.290076, Gy=-3.389313, Gz=0.633588, Ax=0.452881, Ay=-0.964722, Az=-0.049561
  t=45.991176, Gx=-4.893130, Gy=1.419847, Gz=0.633588, Ax=0.451355, Ay=-0.965820, Az=-0.051331
  t=44.861765, Gx=2.229008, Gy=2.473282, Gz=0.618321, Ax=0.443787, Ay=-0.963562, Az=-0.056519
  t=45.332353, Gx=6.435115, Gy=-0.167939, Gz=0.687023, Ax=0.438416, Ay=-0.961243, Az=-0.065430
